SMT Query ID ,Position                                                        ,Function                                                                        ,VC Details                                                                                                                      ,Validity ,Solver ,Solving Time (sec)
          98 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,body assertion: Inlined precondition (4/10) of lemmaValidKeyInArrayIsInListMap                                                  ,valid    ,z3     ,               0.2
          99 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,body assertion: Inlined precondition (5/10) of lemmaValidKeyInArrayIsInListMap                                                  ,valid    ,z3     ,               0.3
         100 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,body assertion: Inlined precondition (6/10) of lemmaValidKeyInArrayIsInListMap                                                  ,valid    ,z3     ,               0.3
         101 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,body assertion: Inlined precondition (7/10) of lemmaValidKeyInArrayIsInListMap                                                  ,valid    ,z3     ,               0.2
         102 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,body assertion: Inlined precondition (8/10) of lemmaValidKeyInArrayIsInListMap                                                  ,valid    ,z3     ,               0.2
         103 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,body assertion: Inlined precondition (9/10) of lemmaValidKeyInArrayIsInListMap                                                  ,valid    ,z3     ,               0.2
         104 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 1/10))                                                         ,valid    ,z3     ,               0.1
         105 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 10/10))                                                        ,valid    ,z3     ,               0.1
         106 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 2/10))                                                         ,valid    ,z3     ,               0.1
         107 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15:   ,apply                                                                           ,precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 3/10))                                                         ,valid    ,z3     ,               0.1
